  QueueTimes | ServiceTimes | SojournTimes
       0.097 |        5.742 |        5.839
       0.179 |        6.310 |        6.488
       0.691 |        6.410 |        7.101
       0.185 |        8.878 |        9.063
       2.604 |        6.322 |        8.926
       0.706 |        5.938 |        6.644
       0.014 |        6.593 |        6.607
       0.016 |        8.357 |        8.373
       3.048 |        7.831 |       10.879
       5.012 |        7.436 |       12.448
       2.414 |        8.254 |       10.667
      10.399 |        7.864 |       18.263
      12.266 |        6.151 |       18.417
      13.168 |        6.523 |       19.691
       5.700 |        6.073 |       11.773
       2.521 |        6.130 |        8.650
       3.444 |        7.181 |       10.624
       2.956 |        6.369 |        9.325
       3.334 |        6.234 |        9.568
       3.529 |        6.415 |        9.944
       0.394 |        8.451 |        8.845
       0.091 |        5.982 |        6.072
       0.623 |        5.973 |        6.596
       0.576 |        6.663 |        7.239
       1.700 |        6.127 |        7.827
       0.013 |        7.386 |        7.398
       0.014 |        6.217 |        6.230
       1.385 |        6.338 |        7.723
       0.002 |        6.157 |        6.159
       0.014 |        6.075 |        6.088
       0.014 |        6.232 |        6.245
       0.805 |        7.586 |        8.391
       1.000 |        6.833 |        7.834
       1.415 |        6.498 |        7.912
       2.071 |        6.117 |        8.189
       2.517 |        7.391 |        9.907
       2.732 |        6.186 |        8.918
       2.327 |        6.830 |        9.157
       3.295 |        6.558 |        9.853
       9.678 |        8.456 |       18.134
      11.474 |        8.686 |       20.160
      14.088 |        6.237 |       20.326
      13.954 |        6.338 |       20.292
       0.344 |        6.224 |        6.569
       0.015 |        5.991 |        6.006
       0.016 |        7.069 |        7.085
       0.016 |        6.284 |        6.300
       0.014 |        7.471 |        7.485
       1.807 |        6.252 |        8.059
       1.980 |        6.763 |        8.743
       3.231 |        6.637 |        9.868
       2.744 |        6.249 |        8.993
