15masstree_25rps_1baseline_8channels_latency.out,15masstree_25rps_1blender_8channels_latency.out,15masstree_25rps_1bwaves_8channels_latency.out,15masstree_25rps_1cactuBSSN_8channels_latency.out,15masstree_25rps_1cam4_8channels_latency.out,15masstree_25rps_1deepsjeng_8channels_latency.out,15masstree_25rps_1exchange2_8channels_latency.out,15masstree_25rps_1fotonik3d_8channels_latency.out,15masstree_25rps_1gcc_8channels_latency.out,15masstree_25rps_1imagick_8channels_latency.out,15masstree_25rps_1lbm_8channels_latency.out,15masstree_25rps_1leela_8channels_latency.out,15masstree_25rps_1mcf_8channels_latency.out,15masstree_25rps_1nab_8channels_latency.out,15masstree_25rps_1namd_8channels_latency.out,15masstree_25rps_1omnetpp_8channels_latency.out,15masstree_25rps_1parest_8channels_latency.out,15masstree_25rps_1perlbench_8channels_latency.out,15masstree_25rps_1povray_8channels_latency.out,15masstree_25rps_1roms_8channels_latency.out,15masstree_25rps_1wrf_8channels_latency.out,15masstree_25rps_1x264_8channels_latency.out,15masstree_25rps_1xalancbmk_8channels_latency.out,15masstree_25rps_1xz_8channels_latency.out
85486934,80206659,86167506,93476180,86449979,92159928,86552070,85724408,81508676,81782974,93095207,85513645,81266348,86041552,83065443,86227060,85971679,0,86166861,85976207,86497450,85683585,85965788,84521955
67139492,52151574,66847250,80944639,66396877,80774478,67515625,66611938,56203842,57173717,81787434,63798077,50961145,67480841,57554976,65718943,67087231,0,66857031,66992778,64654484,57775772,66921951,61246897
67393133,52649273,67167402,82418102,67119181,80840488,67557781,67120852,57393723,57299001,81750546,64125038,52325228,67594281,58153410,66192608,67777198,0,67060206,67114881,65517446,58521683,66995807,64458660
67549378,52773268,67254758,82671328,67267203,80883164,67874219,67544799,57464900,57323662,81737291,64188117,53717833,67794897,58693065,66293957,67902718,0,67289211,67460556,66296675,58862232,67040152,64524087
67657971,53908967,67274327,82769938,67406481,80860354,67950079,67928790,58949955,57906887,81831887,64290484,54463014,68118831,58872348,66895338,67978808,0,67693230,67864315,66320734,58983121,67110052,64624771
67679451,54355828,67342660,82769852,67477978,81087947,67941165,67991429,59626788,58652448,81807304,64684513,54613081,68384599,59846591,67138035,68359421,0,67753349,67962474,67758131,60360165,67583128,64786122
67775405,56476588,67955746,82869793,68245815,81169829,67955095,68056348,59767102,58799945,81895544,65290730,55698359,68516702,59975403,67535819,68428801,0,67996924,68254083,67808884,61402672,67646313,65717804
67797780,56826444,68195644,82859089,68276095,81262951,69140036,68106630,59755029,59738235,81904350,65538577,57131655,68561535,60826500,67608005,68591191,0,68403628,68790925,68073312,61595202,67992348,65834112
67916140,56916997,68224492,82901025,68367806,81249619,69135923,68177754,60176892,61186972,82084041,65958611,56952555,68612845,60954115,67812559,68579426,0,68382025,69175739,68090136,62107070,68018152,65999897
68090293,57075062,68543494,82948494,68407604,81351805,69207724,68171784,60424114,61258239,82027136,66141444,58966284,68870304,61228663,68252981,68978819,0,68683258,69194115,68103670,63954654,68485059,66005747
68284725,57236551,68566992,82948510,68455602,81512009,69517416,68990961,60505679,61766295,82035085,66244527,59307029,69027171,61930397,68366423,69391846,0,69112974,69228222,68347420,65798653,68590522,66231014
68484419,57365548,68553812,82915103,68544125,81388821,69935347,69055867,61525980,61809718,82130652,66543090,59395750,69187340,62636808,68554612,69406961,0,69147795,69247488,69244121,68650401,69082973,66395820
68556812,59229164,68845771,82994299,68948500,81485743,70030276,69124970,61625892,61989793,82015474,67011382,61461737,69423321,62709894,68797636,69471816,0,69417414,69610505,70440839,69006778,69418974,66503994
68782977,59666068,68921884,83175503,69403309,81208918,70193904,69418454,62333243,62603036,82181912,67291135,61521312,69849620,63089133,69127410,69466653,0,69629988,69653249,70500756,69615168,69538947,67480519
68885452,60163843,70144730,83187178,69449472,81501523,70450881,69543600,62618155,62990149,82249072,67698777,61879590,69901497,64614251,70287685,69725632,0,69712127,69997797,70492864,69908541,69994563,67983710
68902294,61200058,70497718,83175212,69799099,81431607,70757879,69719588,62828556,63065988,82649665,68651900,62194676,70190799,65821760,70410646,70127597,0,69954235,70140204,70624546,70185968,70704182,68418454
14402255,11702738,14343698,16880994,14024951,17265269,14213173,14551925,12035683,11956409,17547930,13899665,11987544,14566692,12720820,14237164,14053888,0,14686345,14452502,14020902,12318941,14544749,15726699
14507835,12261986,14487649,17613074,14071359,17296831,14194872,14538549,12492784,12315004,17508854,13945969,11965805,14656038,12832153,14302685,14526977,0,14655869,14401409,14117246,12469707,14647884,16031230
